kind,group,order,candidate,private_score,public_score,public_f1,public_ap,public_delta_vs_v1824a,public_ap_delta_vs_v1824a,public_role_change_rate,public_score_mae,private_role_change_rate,private_score_mae,private_score_max_abs,private_score_change_gt_0p05_rate,private_high_wolf_rate,nearest_known_private_weighted,risk_adjusted_index,nearest_known,output_path
known,known_private_feedback,,v1400,0.43655,0.5555350550657963,0.5080639546165349,0.5871824553653038,0.017973592621962298,0.029955987703270348,0.0,0.03116666666666667,0.03526448362720403,0.054540680100755703,0.95,0.22921914357682618,0.19899244332493704,0.4480547888657439,1.5753122848662549,v1801@0.44504/d=3.34; v1814a@0.45252/d=3.41; v1806b@0.44665/d=3.47,experiments/submissions/submission_v1400_ensemble_rerank_private.csv
known,known_private_feedback,,v1801,0.44504,0.5369505932636071,0.5080639546165349,0.5562083523616551,-0.0006108691802269028,-0.0010181153003783194,0.0,0.0023224637681159414,0.030226700251889168,0.021419773299748108,0.999,0.042821158690176324,0.20906801007556675,0.45016997192068625,-0.14925732104536032,v1806b@0.44665/d=0.54; v1814a@0.45252/d=0.56; v1812b@0.45349/d=1.44,experiments/submissions/submission_v1801_g27_liza_wolf_otto_madman_role_swap_private.csv
known,known_private_feedback,,v1806b,0.44665,0.5369505932636071,0.5080639546165349,0.5562083523616551,-0.0006108691802269028,-0.0010181153003783194,0.0,0.0023224637681159414,0.02518891687657431,0.021419773299748108,0.999,0.042821158690176324,0.20906801007556675,0.4512600204611391,-0.14170064598238802,v1814a@0.45252/d=0.14; v1801@0.44504/d=0.54; v1812b@0.45349/d=0.96,experiments/submissions/submission_v1806b_g17_katharina_black_otto_out_role_swap_private.csv
known,known_private_feedback,,v1810g,0.45462,0.5369505932636071,0.5080639546165349,0.5562083523616551,-0.0006108691802269028,-0.0010181153003783194,0.0,0.0023224637681159414,0.012594458438287154,0.017235894206549116,0.95,0.03526448362720403,0.20906801007556675,0.4574037411111796,-0.11484674170027215,v1812b@0.45349/d=0.74; v1821a@0.46455/d=0.96; v1819b@0.45499/d=1.11,experiments/submissions/submission_v1810g_g17_plus_g20_fri_clara_repair_private.csv
known,known_private_feedback,,v1812b,0.45349,0.5369505932636071,0.5080639546165349,0.5562083523616551,-0.0006108691802269028,-0.0010181153003783194,0.0,0.0023224637681159414,0.017632241813602016,0.019628841309823675,0.95,0.037783375314861464,0.21158690176322417,0.45154897233615676,-0.12605580971034772,v1810g@0.45462/d=0.74; v1806b@0.44665/d=0.96; v1814a@0.45252/d=0.98,experiments/submissions/submission_v1812b_g16_katharina_repair_plus_g23_liza_boost_private.csv
known,known_private_feedback,,v1814a,0.45252,0.5369505932636071,0.5080639546165349,0.5562083523616551,-0.0006108691802269028,-0.0010181153003783194,0.0,0.0023224637681159414,0.02518891687657431,0.025011712846347605,0.95,0.04534005037783375,0.20906801007556675,0.44705640877915837,-0.14655203137281622,v1806b@0.44665/d=0.14; v1801@0.44504/d=0.56; v1812b@0.45349/d=0.98,experiments/submissions/submission_v1814a_g14_linewar_plus_g15_valter_last_big_gamble_private.csv
known,known_private_feedback,,v1819b,0.45499,0.537561462443834,0.5080639546165349,0.5572264676620334,0.0,0.0,0.0,0.0,0.012594458438287154,0.006377833753148615,0.95,0.010075566750629723,0.2040302267002519,0.46479782640548467,-0.03030730478589421,v1823a@0.46492/d=0.96; v1821a@0.46455/d=1.02; v1823b@0.46492/d=1.04,experiments/submissions/submission_v1819b_v1817b_v1818a_private.csv
known,known_private_feedback,,v1821a,0.46455,0.5369505932636071,0.5080639546165349,0.5562083523616551,-0.0006108691802269028,-0.0010181153003783194,0.0,0.0023224637681159414,0.005037783375314861,0.014147732997481108,0.95,0.030226700251889168,0.20654911838790932,0.4579157692756185,-0.09790467620908827,v1810g@0.45462/d=0.96; v1819b@0.45499/d=1.02; v1823a@0.46492/d=1.11,experiments/submissions/submission_v1821a_claimgraph_g10_pamela_repair_private.csv
known,known_private_feedback,,v1823a,0.46492,0.537561462443834,0.5080639546165349,0.5572264676620334,0.0,0.0,0.0,0.0,0.005037783375314861,0.003289672544080605,0.95,0.005037783375314861,0.20151133501259447,0.46439116710744827,-0.013365239294710327,v1823b@0.46492/d=0.74; v1824a@0.47119/d=0.75; v1819b@0.45499/d=0.96,experiments/submissions/submission_v1823a_v1821a_plus_v1819b_positive_stack_private.csv
known,known_private_feedback,,v1823b,0.46492,0.537561462443834,0.5080639546165349,0.5572264676620334,0.0,0.0,0.0,0.0,0.010075566750629723,0.005682619647355164,0.95,0.007556675062972292,0.19899244332493704,0.46373009342779065,-0.024574307304785895,v1823a@0.46492/d=0.74; v1819b@0.45499/d=1.04; v1824a@0.47119/d=1.10,experiments/submissions/submission_v1823b_v1821a_v1819b_plus_g30_dieter_private.csv
known,known_private_feedback,,v1824a,0.47119,0.537561462443834,0.5080639546165349,0.5572264676620334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19899244332493704,0.4628585335352589,0.0,v1823a@0.46492/d=0.75; v1823b@0.46492/d=1.10; v1819b@0.45499/d=1.70,experiments/submissions/submission_v1824a_v1823a_plus_g24_thomas_trueseer_private.csv
future,known_best,1,v1824a,,0.537561462443834,0.5080639546165349,0.5572264676620334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19899244332493704,0.4711899859481204,0.0,v1824a@0.47119/d=0.00; v1823a@0.46492/d=0.75; v1823b@0.46492/d=1.10,experiments/final_submission_package/known_best/01_v1824a_score_0p47119_private.csv
future,known_best,2,v1823a,,0.537561462443834,0.5080639546165349,0.5572264676620334,0.0,0.0,0.0,0.0,0.005037783375314861,0.003289672544080605,0.95,0.005037783375314861,0.20151133501259447,0.4649200083616935,-0.013365239294710327,v1823a@0.46492/d=0.00; v1823b@0.46492/d=0.74; v1824a@0.47119/d=0.75,experiments/final_submission_package/known_best/02_v1823a_score_0p46492_private.csv
future,known_best,3,v1823b,,0.537561462443834,0.5080639546165349,0.5572264676620334,0.0,0.0,0.0,0.0,0.010075566750629723,0.005682619647355164,0.95,0.007556675062972292,0.19899244332493704,0.46491999049193733,-0.024574307304785895,v1823b@0.46492/d=0.00; v1823a@0.46492/d=0.74; v1819b@0.45499/d=1.04,experiments/final_submission_package/known_best/03_v1823b_score_0p46492_private.csv
future,known_best,4,v1821a,,0.5369505932636071,0.5080639546165349,0.5562083523616551,-0.0006108691802269028,-0.0010181153003783194,0.0,0.0023224637681159414,0.005037783375314861,0.014147732997481108,0.95,0.030226700251889168,0.20654911838790932,0.46454998025838196,-0.09790467620908827,v1821a@0.46455/d=0.00; v1810g@0.45462/d=0.96; v1819b@0.45499/d=1.02,experiments/final_submission_package/known_best/04_v1821a_score_0p46455_private.csv
future,known_best,5,v1819b,,0.537561462443834,0.5080639546165349,0.5572264676620334,0.0,0.0,0.0,0.0,0.012594458438287154,0.006377833753148615,0.95,0.010075566750629723,0.2040302267002519,0.454990019741618,-0.03030730478589421,v1819b@0.45499/d=0.00; v1823a@0.46492/d=0.96; v1821a@0.46455/d=1.02,experiments/final_submission_package/known_best/05_v1819b_score_0p45499_private.csv
