candidate,target,family,alpha,public_score,public_f1,public_ap,public_delta_vs_v1824a,target_public_score,private_role_changes_vs_v1824a,private_score_mae_vs_v1824a,private_score_max_abs_vs_v1824a,private_score_change_gt_0p05,private_high_wolf_count,risk_adjusted_index,public_csv,private_csv,validation,risk_note
v1863_01,v1856g,balancedprior,0.25,0.566040103302,0.508063954617,0.604690869092,+0.028478640858,0.590336189619,0,0.014556521411,0.248512000000,37,81,2.792388837043,experiments/submissions/submission_v1863_v1856g_alpha0p25_scoreblend_public.csv,experiments/submissions/submission_v1863_v1856g_alpha0p25_scoreblend_private.csv,OK: 397 predictions validated,same proxy as v1856a with zero role changes
v1863_02,v1856g,balancedprior,0.40,0.568229705101,0.508063954617,0.608340205423,+0.030668242657,0.590336189619,0,0.023290433249,0.397620000000,82,81,2.955091576770,experiments/submissions/submission_v1863_v1856g_alpha0p4_scoreblend_public.csv,experiments/submissions/submission_v1863_v1856g_alpha0p4_scoreblend_private.csv,OK: 397 predictions validated,same proxy as v1856a with zero role changes
v1863_03,v1856g,balancedprior,0.55,0.569139645886,0.508063954617,0.609856773399,+0.031578183442,0.590336189619,0,0.032024362720,0.546728000000,91,83,3.026100233370,experiments/submissions/submission_v1863_v1856g_alpha0p55_scoreblend_public.csv,experiments/submissions/submission_v1863_v1856g_alpha0p55_scoreblend_private.csv,OK: 397 predictions validated,same proxy as v1856a with zero role changes
v1863_04,v1856g,balancedprior,0.70,0.570326993914,0.508063954617,0.611835686779,+0.032765531470,0.590336189619,0,0.040758269521,0.695835000000,94,83,3.130894982646,experiments/submissions/submission_v1863_v1856g_alpha0p7_scoreblend_public.csv,experiments/submissions/submission_v1863_v1856g_alpha0p7_scoreblend_private.csv,OK: 397 predictions validated,same proxy as v1856a with zero role changes
v1863_05,v1856g,balancedprior,0.85,0.573328707425,0.508063954617,0.616838542631,+0.035767244981,0.590336189619,0,0.049492173804,0.844942000000,96,83,3.418133840065,experiments/submissions/submission_v1863_v1856g_alpha0p85_scoreblend_public.csv,experiments/submissions/submission_v1863_v1856g_alpha0p85_scoreblend_private.csv,OK: 397 predictions validated,same proxy as v1856a with zero role changes
v1863_06,v1856g,balancedprior,1.00,0.590336189619,0.508063954617,0.645184346287,+0.052774727175,0.590336189619,0,0.058226085642,0.994050000000,96,83,5.107964669629,experiments/submissions/submission_v1863_v1856g_alpha1p0_scoreblend_public.csv,experiments/submissions/submission_v1863_v1856g_alpha1p0_scoreblend_private.csv,OK: 397 predictions validated,same proxy as v1856a with zero role changes
v1863_07,v1853g,charprior,0.25,0.569637202594,0.508063954617,0.610686034579,+0.032075740150,0.594191203418,0,0.017522690176,0.248512000000,36,78,3.149398612018,experiments/submissions/submission_v1863_v1853g_alpha0p25_scoreblend_public.csv,experiments/submissions/submission_v1863_v1853g_alpha0p25_scoreblend_private.csv,OK: 397 predictions validated,maximum public proxy with higher score-calibration risk
v1863_08,v1853g,charprior,0.40,0.571771490107,0.508063954617,0.614243180434,+0.034210027663,0.594191203418,0,0.028036360202,0.397620000000,81,78,3.304345225364,experiments/submissions/submission_v1863_v1853g_alpha0p4_scoreblend_public.csv,experiments/submissions/submission_v1863_v1853g_alpha0p4_scoreblend_private.csv,OK: 397 predictions validated,maximum public proxy with higher score-calibration risk
v1863_09,v1853g,charprior,0.55,0.573151305014,0.508063954617,0.616542871946,+0.035589842570,0.594191203418,0,0.038549906801,0.546728000000,98,80,3.412056319376,experiments/submissions/submission_v1863_v1853g_alpha0p55_scoreblend_public.csv,experiments/submissions/submission_v1863_v1853g_alpha0p55_scoreblend_private.csv,OK: 397 predictions validated,maximum public proxy with higher score-calibration risk
v1863_10,v1853g,charprior,0.70,0.574602733271,0.508063954617,0.618961919041,+0.037041270827,0.594191203418,0,0.049063551637,0.695835000000,151,80,3.490656585233,experiments/submissions/submission_v1863_v1853g_alpha0p7_scoreblend_public.csv,experiments/submissions/submission_v1863_v1853g_alpha0p7_scoreblend_private.csv,OK: 397 predictions validated,maximum public proxy with higher score-calibration risk
