candidate,target,family,alpha,public_score,global_delta_vs_v1824a,loo_min_delta_vs_v1824a,loo_mean_delta_vs_v1824a,loo_positive_count,loo_negative_count,loo_neutral_count,loo_min_score,private_score_mae_vs_v1824a,private_score_max_abs_vs_v1824a,private_score_change_gt_0p05,private_role_changes_vs_v1824a,robust_index,public_csv,private_csv
v1863_01,v1856g,balancedprior,0.25,0.566040103302,+0.028478640858,+0.017159572198,+0.028305679295,20,0,0,0.551911156176,0.014556521411,0.248512000000,37,0,2.964058976501,experiments/submissions/submission_v1863_v1856g_alpha0p25_scoreblend_public.csv,experiments/submissions/submission_v1863_v1856g_alpha0p25_scoreblend_private.csv
v1863_02,v1856g,balancedprior,0.40,0.568229705101,+0.030668242657,+0.019635032956,+0.030501801066,20,0,0,0.554317189554,0.023290433249,0.397620000000,82,0,3.292832308872,experiments/submissions/submission_v1863_v1856g_alpha0p4_scoreblend_public.csv,experiments/submissions/submission_v1863_v1856g_alpha0p4_scoreblend_private.csv
v1863_03,v1856g,balancedprior,0.55,0.569139645886,+0.031578183442,+0.020647909766,+0.031410215788,20,0,0,0.555313058769,0.032024362720,0.546728000000,91,0,3.417561314710,experiments/submissions/submission_v1863_v1856g_alpha0p55_scoreblend_public.csv,experiments/submissions/submission_v1863_v1856g_alpha0p55_scoreblend_private.csv
v1863_04,v1856g,balancedprior,0.70,0.570326993914,+0.032765531470,+0.021986879863,+0.032592755965,20,0,0,0.556595996541,0.040758269521,0.695835000000,94,0,3.587300975787,experiments/submissions/submission_v1863_v1856g_alpha0p7_scoreblend_public.csv,experiments/submissions/submission_v1863_v1856g_alpha0p7_scoreblend_private.csv
v1863_05,v1856g,balancedprior,0.85,0.573328707425,+0.035767244981,+0.025638526107,+0.035592198200,20,0,0,0.559908299233,0.049492173804,0.844942000000,96,0,4.070018117723,experiments/submissions/submission_v1863_v1856g_alpha0p85_scoreblend_public.csv,experiments/submissions/submission_v1863_v1856g_alpha0p85_scoreblend_private.csv
v1863_06,v1856g,balancedprior,1.00,0.590336189619,+0.052774727175,+0.044985197274,+0.052588266902,20,0,0,0.578925334109,0.058226085642,0.994050000000,96,0,6.752268772177,experiments/submissions/submission_v1863_v1856g_alpha1p0_scoreblend_public.csv,experiments/submissions/submission_v1863_v1856g_alpha1p0_scoreblend_private.csv
v1863_07,v1853g,charprior,0.25,0.569637202594,+0.032075740150,+0.024158962890,+0.031972175512,20,0,0,0.554762226953,0.017522690176,0.248512000000,36,0,3.821670099441,experiments/submissions/submission_v1863_v1853g_alpha0p25_scoreblend_public.csv,experiments/submissions/submission_v1863_v1853g_alpha0p25_scoreblend_private.csv
v1863_08,v1853g,charprior,0.40,0.571771490107,+0.034210027663,+0.026073614731,+0.034109999320,20,0,0,0.557032587052,0.028036360202,0.397620000000,81,0,4.088239288961,experiments/submissions/submission_v1863_v1853g_alpha0p4_scoreblend_public.csv,experiments/submissions/submission_v1863_v1853g_alpha0p4_scoreblend_private.csv
v1863_09,v1853g,charprior,0.55,0.573151305014,+0.035589842570,+0.027315953556,+0.035493717181,20,0,0,0.558402785846,0.038549906801,0.546728000000,98,0,4.253635322922,experiments/submissions/submission_v1863_v1853g_alpha0p55_scoreblend_public.csv,experiments/submissions/submission_v1863_v1853g_alpha0p55_scoreblend_private.csv
v1863_10,v1853g,charprior,0.70,0.574602733271,+0.037041270827,+0.028881223061,+0.036942912728,20,0,0,0.559729255940,0.049063551637,0.695835000000,151,0,4.454393437538,experiments/submissions/submission_v1863_v1853g_alpha0p7_scoreblend_public.csv,experiments/submissions/submission_v1863_v1853g_alpha0p7_scoreblend_private.csv
