group,order,candidate,output_path,public_score,risk_adjusted_index,vs_v1824a_role_changes,vs_v1824a_role_change_rate,vs_v1824a_score_mae,vs_v1824a_score_max_abs,vs_v1824a_score_change_gt_0p05,vs_first_role_changes,vs_first_score_mae,vs_first_score_change_gt_0p05
scoreonly_safe_queue,1,v1856g,experiments/final_submission_package/scoreonly_safe_queue/01_v1856g_scoreonly_balanced_first_private.csv,0.5903361896187123,5.098339830837956,0,0.000000,0.058226,0.994050,96,0,0.000000,0
scoreonly_safe_queue,2,v1853g,experiments/final_submission_package/scoreonly_safe_queue/02_v1853g_scoreonly_max_proxy_private.csv,0.5941912034175195,5.382555855554955,0,0.000000,0.070091,0.994050,167,0,0.014013,68
scoreonly_safe_queue,3,v1850g,experiments/final_submission_package/scoreonly_safe_queue/03_v1850g_scoreonly_lowtail_private.csv,0.5852922620653069,4.593710314792134,0,0.000000,0.058463,0.994050,96,0,0.003535,0
scoreonly_safe_queue,4,v1848g,experiments/final_submission_package/scoreonly_safe_queue/04_v1848g_scoreonly_denoise_private.csv,0.5845146748726254,4.571983585448416,0,0.000000,0.042733,0.994050,64,0,0.019265,32
scoreonly_safe_queue,5,v1846g,experiments/final_submission_package/scoreonly_safe_queue/05_v1846g_scoreonly_rolecap_private.csv,0.5741717768357544,3.62919000342378,0,0.000000,0.015469,0.994050,13,0,0.042757,83
portfolio_queue,1,v1856a,experiments/final_submission_package/portfolio_queue/01_v1856a_risk_balanced_first_private.csv,0.5903361896187123,5.069127573911004,4,0.010076,0.067287,0.999000,100,4,0.011634,6
portfolio_queue,2,v1853a,experiments/final_submission_package/portfolio_queue/02_v1853a_max_proxy_second_private.csv,0.5941912034175195,5.356968686789211,4,0.010076,0.078046,0.999000,169,4,0.024469,72
portfolio_queue,3,v1850a,experiments/final_submission_package/portfolio_queue/03_v1850a_lowtail_fallback_private.csv,0.5852922620653069,4.564571775749313,4,0.010076,0.067450,0.999000,100,4,0.015095,6
portfolio_queue,4,v1848a,experiments/final_submission_package/portfolio_queue/04_v1848a_denoise_fallback_private.csv,0.5845146748726254,4.543091897790986,4,0.010076,0.051474,0.994050,68,4,0.030578,38
portfolio_queue,5,v1846a,experiments/final_submission_package/portfolio_queue/05_v1846a_rolecap_fallback_private.csv,0.5741717768357544,3.5964192225673566,4,0.010076,0.025569,0.994050,19,4,0.052858,87
charprior_queue,1,v1853a,experiments/final_submission_package/charprior_queue/01_v1853a_queue01_v1850a_charprior_private.csv,0.5941912034175195,5.356968686789211,4,0.010076,0.078046,0.999000,169,4,0.024469,72
charprior_queue,2,v1853b,experiments/final_submission_package/charprior_queue/02_v1853b_queue02_v1850b_charprior_private.csv,0.5941912034175195,5.35441828124765,6,0.015113,0.075558,0.999000,167,6,0.022375,71
charprior_queue,3,v1853c,experiments/final_submission_package/charprior_queue/03_v1853c_queue03_v1850c_charprior_private.csv,0.5941912034175195,5.349608686789211,6,0.015113,0.077849,0.999000,169,6,0.024665,73
charprior_queue,4,v1853d,experiments/final_submission_package/charprior_queue/04_v1853d_queue04_v1850d_charprior_private.csv,0.5941912034175195,5.339608863111629,8,0.020151,0.082811,0.999000,167,8,0.030274,72
charprior_queue,5,v1853e,experiments/final_submission_package/charprior_queue/05_v1853e_queue05_v1850e_charprior_private.csv,0.5941912034175195,5.32654053565571,10,0.025189,0.084544,0.999000,170,10,0.031787,75
balancedprior_queue,1,v1856a,experiments/final_submission_package/balancedprior_queue/01_v1856a_queue01_v1850a_balancedprior_private.csv,0.5903361896187123,5.069127573911004,4,0.010076,0.067287,0.999000,100,4,0.011634,6
balancedprior_queue,2,v1856b,experiments/final_submission_package/balancedprior_queue/02_v1856b_queue02_v1850b_balancedprior_private.csv,0.5903361896187123,5.066860571392112,6,0.015113,0.064516,0.999000,98,6,0.008914,4
balancedprior_queue,3,v1856c,experiments/final_submission_package/balancedprior_queue/03_v1856c_queue03_v1850c_balancedprior_private.csv,0.5903361896187123,5.061596087764909,6,0.015113,0.067262,0.999000,100,6,0.011659,6
balancedprior_queue,4,v1856d,experiments/final_submission_package/balancedprior_queue/04_v1856d_queue04_v1850d_balancedprior_private.csv,0.5903361896187123,5.04775565703443,8,0.020151,0.072286,0.999000,101,8,0.017718,8
balancedprior_queue,5,v1856e,experiments/final_submission_package/balancedprior_queue/05_v1856e_queue05_v1850e_balancedprior_private.csv,0.5903361896187123,5.035253518495388,10,0.025189,0.074713,0.999000,103,10,0.019161,9
attack_queue,1,v1841a,experiments/final_submission_package/attack_queue/01_v1841a_queue01_v1826a_attack_overlay_private.csv,,,4,0.010076,0.016957,0.950000,16,4,0.062844,92
attack_queue,2,v1841b,experiments/final_submission_package/attack_queue/02_v1841b_queue02_v1826b_attack_overlay_private.csv,,,6,0.015113,0.015547,0.950000,15,6,0.058663,89
attack_queue,3,v1841c,experiments/final_submission_package/attack_queue/03_v1841c_queue03_v1826d_attack_overlay_private.csv,,,6,0.015113,0.018343,0.950000,17,6,0.061459,91
attack_queue,4,v1841d,experiments/final_submission_package/attack_queue/04_v1841d_queue04_v1826c_attack_overlay_private.csv,,,8,0.020151,0.022302,0.950000,18,8,0.068089,93
attack_queue,5,v1841e,experiments/final_submission_package/attack_queue/05_v1841e_queue05_v1829e_attack_overlay_private.csv,,,10,0.025189,0.027083,1.000000,21,10,0.067227,93
black_boost_queue,1,v1842a,experiments/final_submission_package/black_boost_queue/01_v1842a_queue01_v1826a_blackboost_attack_private.csv,,,4,0.010076,0.024058,0.994050,19,4,0.054621,87
black_boost_queue,2,v1842b,experiments/final_submission_package/black_boost_queue/02_v1842b_queue02_v1826b_blackboost_attack_private.csv,,,6,0.015113,0.021262,0.994050,17,6,0.051825,85
black_boost_queue,3,v1842c,experiments/final_submission_package/black_boost_queue/03_v1842c_queue03_v1826d_blackboost_attack_private.csv,,,6,0.015113,0.024058,0.994050,19,6,0.054621,87
black_boost_queue,4,v1842d,experiments/final_submission_package/black_boost_queue/04_v1842d_queue04_v1826c_blackboost_attack_private.csv,,,8,0.020151,0.029403,0.994050,21,8,0.059866,88
black_boost_queue,5,v1842e,experiments/final_submission_package/black_boost_queue/05_v1842e_queue05_v1829e_blackboost_attack_private.csv,,,10,0.025189,0.031363,1.000000,22,10,0.061825,90
