label,group,order,score,previous_score,recommended_next,status,pass
order1_top3,scoreonly_safe_queue,1,0.50672,,STOP: score exceeds top-3 threshold.,non_concrete_ok,yes
order1_strong_positive,scoreonly_safe_queue,1,0.48000,,experiments/final_submission_package/scoreonly_safe_queue/02_v1853g_scoreonly_max_proxy_private.csv,concrete_ok:scoreonly_safe_queue#2:v1853g,yes
order1_tiny_positive_v1874,scoreonly_safe_queue,1,0.47120,,experiments/final_submission_package/scoreonly_safe_queue/02_v1853g_scoreonly_max_proxy_private.csv,concrete_ok:scoreonly_safe_queue#2:v1853g,yes
order1_exact_current_best_v1874,scoreonly_safe_queue,1,0.47119,,experiments/final_submission_package/scoreonly_safe_queue/03_v1850g_scoreonly_lowtail_private.csv,concrete_ok:scoreonly_safe_queue#3:v1850g,yes
order1_near_baseline,scoreonly_safe_queue,1,0.47080,,experiments/final_submission_package/scoreonly_safe_queue/03_v1850g_scoreonly_lowtail_private.csv,concrete_ok:scoreonly_safe_queue#3:v1850g,yes
order1_small_regression,scoreonly_safe_queue,1,0.46600,,experiments/final_submission_package/scoreonly_safe_queue/04_v1848g_scoreonly_denoise_private.csv,concrete_ok:scoreonly_safe_queue#4:v1848g,yes
order1_severe_regression,scoreonly_safe_queue,1,0.46400,,experiments/final_submission_package/scoreonly_safe_queue/05_v1846g_scoreonly_rolecap_private.csv,concrete_ok:scoreonly_safe_queue#5:v1846g,yes
order2_beats_first,scoreonly_safe_queue,2,0.48001,0.48000,experiments/final_submission_package/portfolio_queue/02_v1853a_max_proxy_second_private.csv,concrete_ok:portfolio_queue#2:v1853a,yes
order2_ties_first,scoreonly_safe_queue,2,0.48000,0.48000,experiments/final_submission_package/scoreonly_safe_queue/03_v1850g_scoreonly_lowtail_private.csv,concrete_ok:scoreonly_safe_queue#3:v1850g,yes
order2_below_first,scoreonly_safe_queue,2,0.47900,0.48000,experiments/final_submission_package/scoreonly_safe_queue/03_v1850g_scoreonly_lowtail_private.csv,concrete_ok:scoreonly_safe_queue#3:v1850g,yes
scoreonly_safe_queue_order3_positive,scoreonly_safe_queue,3,0.47200,,experiments/final_submission_package/portfolio_queue/03_v1850a_lowtail_fallback_private.csv,concrete_ok:portfolio_queue#3:v1850a,yes
scoreonly_safe_queue_order3_regression,scoreonly_safe_queue,3,0.46600,,experiments/final_submission_package/scoreonly_safe_queue/04_v1848g_scoreonly_denoise_private.csv,concrete_ok:scoreonly_safe_queue#4:v1848g,yes
scoreonly_safe_queue_order3_top3,scoreonly_safe_queue,3,0.50672,,STOP: score exceeds top-3 threshold.,non_concrete_ok,yes
scoreonly_safe_queue_order4_positive,scoreonly_safe_queue,4,0.47200,,experiments/final_submission_package/portfolio_queue/04_v1848a_denoise_fallback_private.csv,concrete_ok:portfolio_queue#4:v1848a,yes
scoreonly_safe_queue_order4_regression,scoreonly_safe_queue,4,0.46600,,experiments/final_submission_package/scoreonly_safe_queue/05_v1846g_scoreonly_rolecap_private.csv,concrete_ok:scoreonly_safe_queue#5:v1846g,yes
scoreonly_safe_queue_order4_top3,scoreonly_safe_queue,4,0.50672,,STOP: score exceeds top-3 threshold.,non_concrete_ok,yes
scoreonly_safe_queue_order5_positive,scoreonly_safe_queue,5,0.47200,,NO_SCOREONLY_SAFE_QUEUE_REMAINING: keep best verified score or choose contingency manually.,non_concrete_ok,yes
