recommendation,in_manifest,public_score,public_f1,public_ap,vs_v1824a_role_changes,vs_v1824a_score_mae,vs_v1824a_score_change_gt_0p05,vs_current_role_changes,vs_current_score_mae,vs_current_score_change_gt_0p05,shared_private_rows,private_rows,public_matched,public_rows,manifest_match_type,manifest_group,manifest_order,manifest_candidate,manifest_signature_matches,private_path,public_path,sha256,prediction_signature
not_preferred,no,0.577675660704,0.508063954617,0.624083464763,0,0.059577,166,10,0.064742,154,397,397,276,276,none,,,,,experiments/submissions/submission_v1863_v1853g_alpha0p85_scoreblend_private.csv,experiments/submissions/submission_v1863_v1853g_alpha0p85_scoreblend_public.csv,7d888861944d9d422ded56814db6e0d081059d321fb472c19bf8f719bba58d04,f5fa5cd5f4d2151c5a21265d04cba10df0a4c15ac18fb48841c86bf2d1073b2d
not_preferred,no,0.577675660704,0.508063954617,0.624083464763,0,0.059577,166,10,0.064742,154,397,397,276,276,none,,,,,experiments/submissions/submission_v1863k_v1853g_alpha0p85_scoreblend_private.csv,experiments/submissions/submission_v1863k_v1853g_alpha0p85_scoreblend_public.csv,7d888861944d9d422ded56814db6e0d081059d321fb472c19bf8f719bba58d04,f5fa5cd5f4d2151c5a21265d04cba10df0a4c15ac18fb48841c86bf2d1073b2d
not_preferred,no,0.577346415178,0.508063954617,0.623534722218,0,0.036323,64,10,0.042775,65,397,397,276,276,none,,,,,experiments/submissions/submission_v1863_v1848g_alpha0p85_scoreblend_private.csv,experiments/submissions/submission_v1863_v1848g_alpha0p85_scoreblend_public.csv,8cbbaf20a2e45b7413ec6ac09d2acfd231404485f7f89c61230bba9fa49a7851,4142fb8b8162df20a0a44a2d10534f6a777960507c04e33902e702190625b554
not_preferred,no,0.577346415178,0.508063954617,0.623534722218,0,0.036323,64,10,0.042775,65,397,397,276,276,none,,,,,experiments/submissions/submission_v1863w_v1848g_alpha0p85_scoreblend_private.csv,experiments/submissions/submission_v1863w_v1848g_alpha0p85_scoreblend_public.csv,8cbbaf20a2e45b7413ec6ac09d2acfd231404485f7f89c61230bba9fa49a7851,4142fb8b8162df20a0a44a2d10534f6a777960507c04e33902e702190625b554
not_preferred,no,0.577346415178,0.508063954617,0.623534722218,0,0.049693,96,10,0.056145,97,397,397,276,276,none,,,,,experiments/submissions/submission_v1863_v1850g_alpha0p85_scoreblend_private.csv,experiments/submissions/submission_v1863_v1850g_alpha0p85_scoreblend_public.csv,e169c82781c26036a5ae260fed556be23a4abffde24a12ef007cb4fd3eb7c271,f0318ac856e6ccce20224b7cb8e68b0590757d651c121109908fc6e2409db954
not_preferred,no,0.577346415178,0.508063954617,0.623534722218,0,0.049693,96,10,0.056145,97,397,397,276,276,none,,,,,experiments/submissions/submission_v1863q_v1850g_alpha0p85_scoreblend_private.csv,experiments/submissions/submission_v1863q_v1850g_alpha0p85_scoreblend_public.csv,e169c82781c26036a5ae260fed556be23a4abffde24a12ef007cb4fd3eb7c271,f0318ac856e6ccce20224b7cb8e68b0590757d651c121109908fc6e2409db954
not_preferred,no,0.574638640353,0.508063954617,0.619021764178,0,0.029913,63,10,0.041005,69,397,397,276,276,none,,,,,experiments/submissions/submission_v1863_v1848g_alpha0p7_scoreblend_private.csv,experiments/submissions/submission_v1863_v1848g_alpha0p7_scoreblend_public.csv,0911e709393540f1a4c33eebf3f3f584e3ab7b031baa45464d6d8a64097108ff,c173debcecb28fd3d8bb5a2f8e80301b91f9627e3ec9c2e9fbba7c60a7f82250
not_preferred,no,0.574638640353,0.508063954617,0.619021764178,0,0.029913,63,10,0.041005,69,397,397,276,276,none,,,,,experiments/submissions/submission_v1863v_v1848g_alpha0p7_scoreblend_private.csv,experiments/submissions/submission_v1863v_v1848g_alpha0p7_scoreblend_public.csv,0911e709393540f1a4c33eebf3f3f584e3ab7b031baa45464d6d8a64097108ff,c173debcecb28fd3d8bb5a2f8e80301b91f9627e3ec9c2e9fbba7c60a7f82250
not_preferred,no,0.574638640353,0.508063954617,0.619021764178,0,0.040924,94,10,0.052016,100,397,397,276,276,none,,,,,experiments/submissions/submission_v1863_v1850g_alpha0p7_scoreblend_private.csv,experiments/submissions/submission_v1863_v1850g_alpha0p7_scoreblend_public.csv,419169e0518304f7ac7d6184f76f11df97e869337dc7d70bcbae7397460ede46,e401ac7d547e8b49e125083e4862aac267e0411602a714794d42e99e7cd1012b
not_preferred,no,0.574638640353,0.508063954617,0.619021764178,0,0.040924,94,10,0.052016,100,397,397,276,276,none,,,,,experiments/submissions/submission_v1863p_v1850g_alpha0p7_scoreblend_private.csv,experiments/submissions/submission_v1863p_v1850g_alpha0p7_scoreblend_public.csv,419169e0518304f7ac7d6184f76f11df97e869337dc7d70bcbae7397460ede46,e401ac7d547e8b49e125083e4862aac267e0411602a714794d42e99e7cd1012b
