id,index,character,role,wolf_score
1,01,Optimist Gerd,Villager,0.001
2,01,Boy Peter,Werewolf,1.0
3,01,Village Girl Pamela,Madman,0
4,01,Shepherd Katharina,Seer,0.001
5,01,Outlaw Dieter,Villager,0.118
6,01,Baker Otto,Villager,0.001
7,01,Traveler Nicholas,Medium,0.235
8,01,Sister Friedel,Villager,0.262
9,01,Innkeeper Regina,Villager,0.001
10,01,Farmer Jacob,Villager,1
11,01,Young Girl Liza,Villager,0.174
12,01,Young Man Joachim,Werewolf,1.0
13,01,Merchant Albin,Villager,0.001
14,01,Father Jimzon,Hunter,0.001
15,01,Wounded Soldier Simon,Villager,0
16,01,Librarian Clara,Werewolf,1.0
17,02,Optimist Gerd,Villager,0.001
18,02,Merchant Albin,Hunter,0.155
19,02,Shepherd Katharina,Medium,0.262
20,02,Village Girl Pamela,Villager,0.0
21,02,Tailor Elna,Madman,0
22,02,Traveler Nicholas,Villager,0.342
23,02,Young Girl Liza,Villager,0.219
24,02,Librarian Clara,Villager,0.246
25,02,Boy Peter,Werewolf,1.0
26,02,Young Man Joachim,Werewolf,0.5
27,02,Wounded Soldier Simon,Villager,0.001
28,02,Innkeeper Regina,Villager,0.134
29,02,Sister Friedel,Werewolf,1.0
30,02,Mayor Valter,Seer,0.05
31,02,Father Jimzon,Villager,0.262
32,03,Optimist Gerd,Villager,0.001
33,03,Young Man Joachim,Werewolf,1.0
34,03,Young Girl Liza,Villager,0.478
35,03,Tailor Elna,Villager,0.47
36,03,Farmer Jacob,Werewolf,0
37,03,Librarian Clara,Villager,0.001
38,03,Boy Peter,Medium,0.49
39,03,Shepherd Katharina,Seer,0.463
40,03,Old Man Moritz,Villager,0.00595
41,03,Village Girl Pamela,Villager,0.001
42,04,Optimist Gerd,Villager,0.001
43,04,Sister Friedel,Villager,0.227
44,04,Father Jimzon,Seer,0.326
45,04,Mayor Valter,Villager,0.294
46,04,Young Girl Liza,Werewolf,1.0
47,04,Young Man Joachim,Werewolf,1.0
48,04,Librarian Clara,Villager,0.12085
49,04,Traveler Nicholas,Villager,0.23
50,04,Old Man Moritz,Villager,0.342
51,04,Outlaw Dieter,Hunter,0.001
52,04,Baker Otto,Madman,0
53,04,Wounded Soldier Simon,Werewolf,0
54,04,Village Girl Pamela,Villager,0.0
55,04,Innkeeper Regina,Medium,0.294
56,04,Farmer Jacob,Villager,0.001
57,05,Optimist Gerd,Villager,0.001
58,05,Mayor Valter,Villager,0.414
59,05,Baker Otto,Seer,0.246
60,05,Tailor Elna,Villager,0.001
61,05,Librarian Clara,Werewolf,0.5
62,05,Shepherd Katharina,Werewolf,1.0
63,05,Young Man Joachim,Madman,0
64,05,Father Jimzon,Medium,0.246
65,05,Merchant Albin,Villager,0.01795
66,05,Young Girl Liza,Hunter,0.001
67,05,Boy Peter,Villager,0.0
68,06,Optimist Gerd,Villager,0.001
69,06,Young Girl Liza,Madman,0
70,06,Wounded Soldier Simon,Villager,0.278
71,06,Innkeeper Regina,Villager,0.246
72,06,Father Jimzon,Werewolf,1.0
73,06,Boy Peter,Villager,0.35
74,06,Traveler Nicholas,Hunter,0.001
75,06,Sister Friedel,Villager,0.001
76,06,Young Man Joachim,Medium,0.001
77,06,Old Man Moritz,Villager,0.001
78,06,Outlaw Dieter,Villager,0
79,06,Mayor Valter,Seer,0.001
80,06,Baker Otto,Werewolf,0.5
81,06,Tailor Elna,Villager,0.219
82,06,Woodcutter Thomas,Werewolf,0.5
83,06,Shepherd Katharina,Villager,0
84,07,Gerd,Villager,0.001
85,07,Nicholas,Villager,0.2
86,07,Katharina,Villager,0.174
87,07,Moritz,Seer,0.05
88,07,Peter,Madman,0
89,07,Otto,Hunter,0.001
90,07,Jimzon,Villager,0.23
91,07,Liza,Villager,0.126
92,07,Regina,Werewolf,1.0
93,07,Pamela,Villager,0
94,07,Albin,Villager,0.318
95,07,Friedel,Villager,0.214
96,07,Elna,Medium,0.001
97,07,Joachim,Werewolf,1.0
98,07,Valter,Werewolf,1.0
99,07,Thomas,Villager,0.166
100,08,Optimist Gerd,Villager,0.001
101,08,Merchant Albin,Werewolf,1.0
102,08,Father Jimzon,Villager,0.06
103,08,Boy Peter,Villager,0.0
104,08,Wounded Soldier Simon,Werewolf,1.0
105,08,Baker Otto,Villager,0.31
106,08,Tailor Elna,Villager,0.00475
107,08,Shepherd Katharina,Villager,0.331
108,08,Young Girl Liza,Werewolf,1.0
109,08,Outlaw Dieter,Madman,0
110,08,Sister Friedel,Seer,0.208
111,08,Farmer Jacob,Villager,0.318
112,08,Librarian Clara,Villager,0.443
113,08,Old Man Moritz,Villager,0.49
114,08,Innkeeper Regina,Hunter,0.001
115,08,Mayor Valter,Medium,0.14
116,09,Gerd,Villager,0.001
117,09,KATHARINA,Villager,0.262
118,09,DIETER,Hunter,0.05
119,09,SIMON,Medium,0.198
120,09,MORITZ,Villager,0.214
121,09,CLARA,Villager,0.166
122,09,ELNA,Werewolf,1.0
123,09,JOACHIM,Villager,0.454
124,09,FATHER_JIMZON,Madman,0
125,09,LIZA,Villager,0
126,09,NICHOLAS,Werewolf,1.0
127,09,PAMELA,Seer,0.14125
128,09,REGINA,Werewolf,0.5
129,09,ALBIN,Villager,0.254
130,10,Optimist Gerd,Villager,0.001
131,10,Young Man Joachim,Madman,0
132,10,Shepherd Katharina,Hunter,0.001
133,10,Sister Friedel,Villager,0.49
134,10,Farmer Jacob,Werewolf,1.0
135,10,Boy Peter,Villager,0.262
136,10,Old Man Moritz,Villager,0
137,10,Mayor Valter,Medium,0.446
138,10,Young Girl Liza,Werewolf,1.0
139,10,Innkeeper Regina,Seer,0.23
140,10,Tailor Elna,Villager,0.00955
141,11,Gerd the Optimist,Villager,0.001
142,11,Liza the Young Girl,Villager,0.238
143,11,Nicholas the Traveler,Villager,0.214
144,11,Dieter the Outlaw,Seer,0.39
145,11,Friedel the Sister,Werewolf,1.0
146,11,Father Jimzon,Villager,0.254
147,11,Mayor Valter,Villager,0.001
148,11,Joachim the Young Man,Werewolf,0.5
149,11,Otto the Baker,Werewolf,1.0
150,11,Elna the Tailor,Medium,0.001
151,11,Pamela the Village Girl,Villager,0.49
152,11,Jacob the Farmer,Villager,0.15
153,11,Simon the Wounded Soldier,Villager,0.262
154,11,Albin the Merchant,Madman,0.0
155,11,Katharina the Shepherd,Hunter,1.0
156,11,Peter the Boy,Villager,0.001
157,12,Optimist Gerd,Villager,0.001
158,12,Shepherd Katharina,Villager,0.15
159,12,Librarian Clara,Villager,0.23
160,12,Boy Peter,Madman,0
161,12,Young Girl Liza,Villager,0.171
162,12,Village Girl Pamela,Villager,0.00835
163,12,Innkeeper Regina,Werewolf,1.0
164,12,Sister Friedel,Werewolf,0.5
165,12,Traveler Nicholas,Villager,0.406
166,12,Merchant Albin,Hunter,0.001
167,12,Young Man Joachim,Villager,0.182
168,12,Mayor Valter,Villager,0.001
169,12,Outlaw Dieter,Werewolf,1.0
170,12,Wounded Soldier Simon,Villager,0.254
171,12,Tailor Elna,Medium,0.278
172,12,Father Jimzon,Seer,0.198
173,13,Optimist Gerd,Villager,0.001
174,13,Boy Peter,Villager,0.374
175,13,Farmer Jacob,Villager,0.001
176,13,Wounded Soldier Simon,Villager,0.406
177,13,Sister Friedel,Seer,1.0
178,13,Village Girl Pamela,Hunter,0.001
179,13,Young Man Joachim,Werewolf,1.0
180,13,Father Jimzon,Werewolf,0.5
181,13,Merchant Albin,Villager,0.23
182,13,Tailor Elna,Madman,0
183,13,Shepherd Katharina,Medium,0.00115
184,13,Traveler Nicholas,Villager,0.0
185,14,Gerd,Villager,0.001
186,14,Valter,Villager,0.198
187,14,Father Jimzon,Hunter,0.00835
188,14,Clara,Madman,0
189,14,Joachim,Werewolf,1.0
190,14,Friedel,Werewolf,1.0
191,14,Pamela,Villager,0.001
192,14,Liza,Villager,0.211
193,14,Albin,Villager,0.001
194,14,Katharina,Seer,0.001
195,14,Peter,Villager,0.0
196,14,Nicholas,Villager,0.27
197,14,Jacob,Villager,0.219
198,14,Simon,Medium,0.49
199,14,Otto,Werewolf,0
200,14,Elna,Villager,0.001
201,15,Optimist Gerd,Villager,0.001
202,15,Boy Peter,Seer,0.27
203,15,Tailor Elna,Villager,0.286
204,15,Librarian Clara,Villager,0.206
205,15,Young Girl Liza,Madman,0
206,15,Baker Otto,Werewolf,1.0
207,15,Traveler Nicholas,Werewolf,1.0
208,15,Wounded Soldier Simon,Hunter,0.001
209,15,Woodcutter Thomas,Villager,0.001
210,15,Old Man Moritz,Villager,0.294
211,15,Sister Friedel,Werewolf,1.0
212,15,Village Girl Pamela,Medium,0.001
213,15,Innkeeper Regina,Villager,0.219
214,16,Gerd,Villager,0.001
215,16,Joachim,Madman,0
216,16,Liza,Werewolf,0.5
217,16,Katharina,Villager,0.278
218,16,Pamela,Hunter,0.001
219,16,Friedel,Medium,0.001
220,16,Peter,Werewolf,1.0
221,16,Valter,Villager,0.198
222,16,Clara,Seer,0.206
223,16,Albin,Villager,0.05
224,16,Nicholas,Villager,0.206
225,16,Moritz,Villager,1
226,16,Regina,Werewolf,1.0
227,16,Dieter,Villager,0.0
228,17,Optimist Gerd,Villager,0.001
229,17,Young Girl Liza,Madman,0
230,17,Village Girl Pamela,Seer,0.198
231,17,Sister Friedel,Werewolf,1.0
232,17,Merchant Albin,Villager,0.19
233,17,Librarian Clara,Hunter,0.001
234,17,Mayor Valter,Medium,0.001
235,17,Baker Otto,Villager,0.262
236,17,Father Jimzon,Villager,0
237,17,Traveler Nicholas,Villager,0.302
238,17,Woodcutter Thomas,Werewolf,0.5
239,18,Optimist Gerd,Villager,0.001
240,18,Young Man Joachim,Villager,0.358
241,18,Young Girl Liza,Villager,0.278
242,18,Traveler Nicholas,Villager,0.49
243,18,Shepherd Katharina,Medium,0.13445
244,18,Librarian Clara,Werewolf,1.0
245,18,Wounded Soldier Simon,Villager,0.214
246,18,Outlaw Dieter,Villager,0.414
247,18,Baker Otto,Werewolf,0
248,18,Old Man Moritz,Werewolf,1.0
249,18,Sister Friedel,Madman,0
250,18,Boy Peter,Villager,0.001
251,18,Village Girl Pamela,Villager,0.12765
252,18,Father Jimzon,Seer,1.0
253,18,Tailor Elna,Hunter,0.001
254,19,Optimist Gerd,Villager,0.001
255,19,Village Girl Pamela,Villager,0.062
256,19,Mayor Valter,Madman,0
257,19,Tailor Elna,Hunter,0.001
258,19,Shepherd Katharina,Werewolf,1.0
259,19,Librarian Clara,Seer,0.001
260,19,Young Girl Liza,Villager,0.05965
261,19,Old Man Moritz,Villager,0.262
262,19,Father Jimzon,Medium,0.001
263,19,Traveler Nicholas,Villager,0.246
264,19,Sister Friedel,Werewolf,1.0
265,20,Optimist Gerd,Villager,0.001
266,20,Sister Friedel,Medium,0.398
267,20,Shepherd Katharina,Werewolf,1.0
268,20,Young Man Joachim,Hunter,0.001
269,20,Young Girl Liza,Villager,0.001
270,20,Tailor Elna,Villager,1
271,20,Librarian Clara,Villager,0.198
272,20,Village Girl Pamela,Madman,0
273,20,Mayor Valter,Villager,0.0
274,20,Woodcutter Thomas,Werewolf,1.0
275,20,Baker Otto,Seer,0.254
276,20,Old Man Moritz,Villager,0.406
